scenario,t,unit,b,p_ch,p_dis,p_net,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess
summer_peak,2,0,29,0.12265596918090238,0.0,-0.12265596918090238,0.1612835416066947,0.481625065950988,5.927029348755001,117.96,6.0672102716950755,6.1712805682880205
summer_peak,3,0,29,0.12213111058715942,0.0,-0.12213111058715942,0.16387762263040717,0.4893715131810125,5.7603821313750005,113.83,5.892552060032534,5.998146174081885
summer_peak,4,0,29,0.12265362490538823,0.0,-0.12265362490538823,0.16547325804066687,0.494136401166757,5.65920346368,109.52,5.786631631665692,5.893983091295095
summer_peak,5,0,29,0.12316907527319643,0.0,-0.12316907527319643,0.16732719111445205,0.4996726178819624,5.64900057282,108.99,5.775955682732446,5.883962156460546
summer_peak,6,0,29,0.12480951502373872,0.0,-0.12480951502373872,0.16968181780120445,0.5067040063423086,5.750179240515001,112.96,5.8818668358620965,5.9903592330267434
summer_peak,7,0,29,0.12497345442560381,0.0,-0.12497345442560381,0.17397786532115056,0.5195328675485456,6.071570302605,121.14,6.2189030820505895,6.323521416892949
summer_peak,8,0,29,0.12555673289253466,0.0,-0.12555673289253466,0.17937195229527955,0.53564069522135,6.607222072755,131.19,6.782723539405977,6.880524998175519
summer_peak,9,0,29,0.11428248063653146,0.0,-0.11428248063653146,0.18722537789759197,0.5590926022539886,7.306120096665,135.09,7.522380432617693,7.5976088329760305
summer_peak,10,0,29,0.10240799323872718,0.0,-0.10240799323872718,0.18759576355649826,0.5601986482622854,7.737192235500001,139.1,7.980897624884177,8.037083411449787
summer_peak,11,0,29,0.0933606315133505,0.0,-0.0933606315133505,0.18077904193869662,0.5398425476581121,7.899588248355001,141.38,8.154096037250666,8.198402504896215
summer_peak,12,0,29,0.09957590712134123,0.0,-0.09957590712134123,0.16832328844410183,0.5026471646789076,7.909791139215001,143.69,8.16498613623989,8.215755022234733
summer_peak,13,0,29,0.1667464355039423,0.0,-0.1667464355039423,0.1624367673398933,0.48506882973664817,7.783955485275,140.69,8.030745381003353,8.154524900844535
summer_peak,14,0,29,0.14580815076422027,0.0,-0.14580815076422027,0.22255933186486987,0.6646068893304636,8.091742692885001,146.9,8.359362841154594,8.456575831780482
summer_peak,15,0,29,0.09071956122520447,0.0,-0.09071956122520447,0.2778868470020855,0.8298259678638908,8.252438223930001,150.81,8.531300755771445,8.567473447868487
summer_peak,16,0,29,0.02531523826624074,0.0,-0.02531523826624074,0.3114862668120039,0.9301605873834016,8.345964723480002,152.15,8.631487109668905,8.59648381553061
