n_ess,run,gen,batch_size,eval_cumulative,gbest_f,mean_f,std_f,worst_f,elapsed_s,coef_cache_hit_rate_cumulative
1,0,171,8,3177,-3962475.5823148247,-3962475.575409469,0.005016829228558101,-3962475.5663714334,1.626898499991512,0.8691399662731872
1,0,172,8,3185,-3962475.5823148247,-3962475.5742320064,0.009725280396906894,-3962475.5504206643,2.015371099987533,0.8694920955264043
1,0,173,8,3193,-3962475.5823148247,-3962475.5793534005,0.001954662624554361,-3962475.575269794,1.9993191999965347,0.8698423347869843
1,0,174,8,3201,-3962475.5823148247,-3962475.578471262,0.0038358777246518968,-3962475.5689149313,1.904010800004471,0.8701906992305118
1,0,175,8,3209,-3962475.5823148247,-3962475.5788076464,0.0021390614234619784,-3962475.573549198,1.6403718999936245,0.8705372038705372
1,0,176,7,3216,-3962475.5823148247,-3962475.5783685097,0.0014652592071583883,-3962475.5759981256,1.5419164999912027,0.8708388814913449
1,0,177,7,3223,-3962475.5823148247,-3962475.5526290513,0.05643207046875705,-3962475.4152188003,1.8479165000026114,0.8711391564264364
1,0,178,7,3230,-3962475.5823148247,-3962475.57874503,0.003268667316413666,-3962475.5733980034,1.5643852000066545,0.8714380384360504
1,0,179,7,3237,-3962475.5823148247,-3962475.578769888,0.00118257118537241,-3962475.5769069344,1.5532806000264827,0.8717355371900827
1,0,180,7,3244,-3962475.5823148247,-3962475.5749249766,0.008514480845989785,-3962475.5574472416,1.5737308000097983,0.8720316622691293
1,0,181,7,3251,-3962475.5823148247,-3962475.576421267,0.005265454974538395,-3962475.566139737,1.8465872000087984,0.872326423165515
1,0,182,7,3258,-3962475.5823148247,-3962475.577799616,0.0026058922802291006,-3962475.573658848,1.8104864000051748,0.8726198292843073
1,0,183,7,3265,-3962475.5823148247,-3962475.5781804468,0.0038029505381545576,-3962475.5707509574,1.841568100004224,0.872911889944317
1,0,184,7,3272,-3962475.5823148247,-3962475.5763262073,0.003126058476622192,-3962475.5700280126,1.831748199998401,0.873202614379085
1,0,185,7,3279,-3962475.5823148247,-3962475.576223121,0.0049027473980008335,-3962475.567097394,1.5670783999958076,0.8734920117378546
1,0,186,7,3286,-3962475.5823148247,-3962475.5801169337,0.001379726897491196,-3962475.5781807993,1.8351568999933079,0.8737800910865322
1,0,187,7,3293,-3962475.5823148247,-3962475.5782234366,0.00315540271042257,-3962475.5722318236,1.5360636999830604,0.8740668614086335
1,0,188,7,3300,-3962475.5823148247,-3962475.5777478856,0.003124933081986695,-3962475.5738366675,1.5451102000079118,0.8743523316062176
1,0,189,7,3307,-3962475.5823148247,-3962475.5755563537,0.005423759560544486,-3962475.5636302996,1.867185699986294,0.8746365105008077
1,0,190,7,3314,-3962475.5823148247,-3962475.5756304483,0.006066850991831055,-3962475.563375024,1.7814127000165172,0.8749194068343005
1,0,191,7,3321,-3962475.5823148247,-3962475.559500651,0.04603416226023591,-3962475.446887143,1.539630200015381,0.8752010292698617
1,0,192,6,3327,-3962475.5823148247,-3962475.5713500106,0.008914134103431373,-3962475.554223601,1.4389591999934055,0.8754414125200642
1,0,193,6,3333,-3962475.5823148247,-3962475.5766080194,0.006422548837645427,-3962475.5625692625,1.4740794000099413,0.8756808715155399
1,0,194,6,3339,-3962475.5823148247,-3962475.576009117,0.002858991785026489,-3962475.5723200105,1.731208199984394,0.875919411576591
1,0,195,6,3345,-3962475.5823148247,-3962475.580048637,0.0014399952224547475,-3962475.577172404,1.4602273000054993,0.8761570379827641
1,0,196,6,3351,-3962475.5823148247,-3962475.5754585876,0.008288905805745178,-3962475.5572949685,1.442704999994021,0.8763937559732399
1,0,197,6,3357,-3962475.5823148247,-3962475.574049987,0.005541624482177684,-3962475.563954668,1.7098497999832034,0.8766295707472178
1,0,198,6,3363,-3962475.5823148247,-3962475.577695089,0.002706486189008204,-3962475.57237475,1.7828304000140633,0.876864487464297
1,0,199,6,3369,-3962475.5823148247,-3962475.5773496684,0.006313223993466207,-3962475.563539725,1.7383905000169761,0.8770985112448527
1,0,200,6,3375,-3962475.5823148247,-3962475.5795550547,0.0014525546621077005,-3962475.576846298,1.4406097999890335,0.8773316471704078
1,0,201,6,3381,-3962475.5823148247,-3962475.57567659,0.003274299173686729,-3962475.571575107,1.458314400020754,0.8775639002840012
1,0,202,6,3387,-3962475.5823148247,-3962475.576961583,0.0036956289877762617,-3962475.570350047,1.4637917000218295,0.8777952755905511
1,0,203,6,3393,-3962475.5823148247,-3962475.5791856027,0.0016180492771698345,-3962475.5774104707,1.7810807000205386,0.8780257780572147
1,0,204,6,3399,-3962475.5823148247,-3962475.5740118637,0.009941387990212458,-3962475.554519754,1.416199500003131,0.8782554126137433
1,0,205,6,3405,-3962475.5823148247,-3962475.576947602,0.003947652547229401,-3962475.5687441714,1.4761639999924228,0.8784841841528344
1,0,206,6,3411,-3962475.5823148247,-3962475.5749108777,0.004066839396816109,-3962475.5689547453,1.448033699998632,0.8787120975304783
1,0,207,6,3417,-3962475.5823148247,-3962475.5779345315,0.0037141760546577514,-3962475.5703366175,1.4524078000104055,0.8789391575663027
1,0,208,6,3423,-3962475.5823148247,-3962475.5750865233,0.0076031804956177,-3962475.5584650934,1.7594460000109393,0.8791653690439115
1,0,209,6,3429,-3962475.5823148247,-3962475.577587819,0.0034063021957088523,-3962475.570867723,1.7192111999902409,0.8793907367112216
1,0,210,6,3435,-3962475.5823148247,-3962475.577227305,0.003170667429770439,-3962475.570853276,1.4172414999920875,0.8796152652807943
1,0,211,5,3440,-3962475.5823148247,-3962475.5788423032,0.0012422415784126902,-3962475.577116994,1.662755900004413,0.8798017348203222
1,0,212,5,3445,-3962475.5823148247,-3962475.561898482,0.022233179742091564,-3962475.5317705944,1.6235779999988154,0.8799876275904732
1,0,213,5,3450,-3962475.5823148247,-3962475.575125266,0.005019485486690649,-3962475.567010848,1.6273571000201628,0.8801729462631254
1,0,214,5,3455,-3962475.5823148247,-3962475.5769194392,0.0038615861454549044,-3962475.569753157,1.6514312000072096,0.8803576934936787
1,0,215,5,3460,-3962475.5823148247,-3962475.575028519,0.006589174264459983,-3962475.5621756334,1.3426125999831129,0.8805418719211823
1,0,216,5,3465,-3962475.5823148247,-3962475.573348946,0.003828717501477898,-3962475.567063991,1.642817300016759,0.8807254841684599
