point_id,b,S,E,solution_label,coefficient_round,scenario,t,p_center_mw,P_net_mw,Q_mvar,p_slack_mw,line_loss_mw,a_P,a_Q,b_PP,b_QQ,b_PQ,matrix_rank,lambda_min_cost,lambda_max_cost,solver,status,objective,lp_pk_proxy_mw
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,15,-0.04938730033871653,-0.04926500799969422,0.0029233722590455294,8.314420182390698,0.2652358994507996,-0.08111064132718586,-0.046179819474200794,0.02458513564367574,0.023734829266553494,0.012994356735899673,5,0.017648908658980906,0.030671056251248323,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,16,0.0019702087721646597,0.0017350121507054075,0.005519510301722074,8.331898688407895,0.265576229949797,-0.08220783744503929,-0.04658664250254452,0.0003006087409514565,0.021925213517460528,0.0002992089989623253,5,0.0002995737886196112,0.021926248469792374,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,17,0.1099191968504088,0.10984906070264279,0.009135295466443389,8.346540926149581,0.2651577320409883,-0.08389216797094975,-0.048188131147642636,0.0220876031469284,0.026123897106848218,-0.005439382582629249,5,0.020719064733649976,0.027492435520126646,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,18,0.018960606667616835,0.018970386960570247,0.005914520773540037,8.340393254367495,0.2658934478671562,-0.08205869017677118,-0.046867274049073336,0.005356281805365673,0.02275675205697818,-0.005301387092530633,5,0.004961448623538082,0.023151585238805773,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,19,-0.0441263094037698,-0.04405654624515974,0.0023161446226399787,8.16894490222602,0.2559069549977442,-0.07948665017730495,-0.04521825709910126,0.02531747432246204,0.02312361024715835,0.012981448346538913,5,0.017637779932370944,0.030803304637249444,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,20,-0.04124613267303974,-0.04117937609913056,0.002090333878705161,7.912890635060813,0.2399473050731103,-0.07686630988315214,-0.04373489648889829,0.023122815063018307,0.023036932875173947,0.011563095245564002,5,0.017298166881043027,0.028861581057149227,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,21,-0.039285971630129785,-0.03922336016923223,0.0018739618078282912,7.615013990615379,0.22205570089163015,-0.07376055086495586,-0.041961511921391706,0.021373728889451694,0.02284104231013956,0.010462572970401101,5,0.016824904131879755,0.027389867067711498,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,22,-0.038180243185709374,-0.038120502391534625,0.001679119912259916,7.325107970413706,0.20532986139457604,-0.07070703669055145,-0.04021837655853239,0.02031201395887028,0.022603501969296683,0.009692712289271838,5,0.01647780844565136,0.0264377074825156,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,23,-0.03759889299551592,-0.03754063353610372,0.0016159963197669282,7.219998257400097,0.19942802813491634,-0.06961667086243083,-0.03959300432746133,0.019799428461428414,0.022519153916525755,0.009381773786885822,5,0.016275271688109938,0.02604331068984423,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round2,round2,summer,0,0.15720747701045074,0.15720747701043633,0.07913159401915645,6.286226258218776,0.14683605801452007,-0.06202327817611798,-0.03601052121787994,0.020011054117654758,0.02385959306323758,-0.0019736157028162928,5,0.019772778159821022,0.024097869021071316,CLARABEL,optimal,-25965.012302322648,nan
