method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate
pwl,2,P1_old_full_opt,winter,4,0.04715905786819108,0.0,0.04715905786819108,,False
pwl,2,P1_old_full_opt,winter,5,0.02499999999608081,0.02,0.00499999999608081,0.24999999980404047,False
pwl,2,P1_old_full_opt,winter,6,1.1716771929627672e-05,0.0,1.1716771929627672e-05,,False
pwl,2,P1_old_full_opt,winter,7,1.1716783598584758e-05,0.0,1.1716783598584758e-05,,False
pwl,2,P1_old_full_opt,winter,8,1.1716780337663658e-05,0.0,1.1716780337663658e-05,,False
pwl,2,P1_old_full_opt,winter,9,0.02499999997857116,0.0,0.02499999997857116,,False
pwl,2,P1_old_full_opt,winter,10,0.04715905786847949,0.0,0.04715905786847949,,False
pwl,2,P1_old_full_opt,winter,11,0.04199404510178553,0.0,0.04199404510178553,,False
pwl,2,P1_old_full_opt,winter,12,2.2383414279592567e-11,0.0,2.2383414279592567e-11,,False
pwl,2,P1_old_full_opt,winter,13,1.93408529159767e-11,0.0,1.93408529159767e-11,,False
pwl,2,P1_old_full_opt,winter,14,1.8342258400358204e-11,0.0,1.8342258400358204e-11,,False
pwl,2,P1_old_full_opt,winter,15,1.879844664236577e-11,0.0,1.879844664236577e-11,,False
pwl,2,P1_old_full_opt,winter,16,2.0212602261326108e-11,0.0,2.0212602261326108e-11,,False
pwl,2,P1_old_full_opt,winter,17,2.448673373239776e-11,0.0,2.448673373239776e-11,,False
pwl,2,P1_old_full_opt,winter,18,2.0857195471990123e-11,0.0,2.0857195471990123e-11,,False
pwl,2,P1_old_full_opt,winter,19,1.9808652496003575e-11,0.0,1.9808652496003575e-11,,False
pwl,2,P1_old_full_opt,winter,20,1.862578273305609e-09,0.0,1.862578273305609e-09,,False
pwl,2,P1_old_full_opt,winter,21,9.121292579918642e-09,0.0,9.121292579918642e-09,,False
pwl,2,P1_old_full_opt,winter,22,0.022747523896507617,0.02,0.0027475238965076164,0.13737619482538083,False
pwl,2,P1_old_full_opt,winter,23,0.04715905786966951,0.0,0.04715905786966951,,False
pwl,2,P1_old_full_opt,shoulder,0,0.04715905786773786,0.0,0.04715905786773786,,False
pwl,2,P1_old_full_opt,shoulder,1,0.002870644251053625,0.0,0.002870644251053625,,False
pwl,2,P1_old_full_opt,shoulder,2,1.4275021536890712e-10,0.0,1.4275021536890712e-10,,False
pwl,2,P1_old_full_opt,shoulder,3,0.034352147241567835,0.0,0.034352147241567835,,False
pwl,2,P1_old_full_opt,shoulder,4,0.047159057867703705,0.0,0.047159057867703705,,False
pwl,2,P1_old_full_opt,shoulder,5,0.025000000000327198,0.02,0.005000000000327198,0.25000000001635986,False
pwl,2,P1_old_full_opt,shoulder,6,1.1712913778450907e-05,0.0,1.1712913778450907e-05,,False
