point_id,b,S,E,scenario,t,n_feasible,matrix_rank,n_unique_p,n_unique_q,a_P,a_Q,b_PP,b_QQ,b_PQ,relative_max_residual,rmse_mw,lambda_min_cost,lambda_max_cost,lambda_min_over_lambda_max_pct,is_psd_cost
P2_dev_run1,17,0.303,0.404,shoulder,3,37,5,9,17,-0.05044566721036196,-0.029458423504876853,0.023675576325885853,0.022711227774297984,0.0013432519190700494,0.0008057480971865537,4.399088529052609e-06,0.02236661703465033,0.024020187065533508,93.1159152658895,True
P2_dev_run1,17,0.303,0.404,shoulder,4,37,5,9,17,-0.04997370456351135,-0.029183169813782918,0.023642117970971762,0.022685669546029415,0.0013288346499406613,0.0008105418332378835,4.388317971998323e-06,0.02234526760504933,0.023982519911951845,93.17314313544433,True
P2_dev_run1,17,0.303,0.404,shoulder,5,37,5,9,17,-0.05038084097359815,-0.029420616852108568,0.023670979070842136,0.02270771649576028,0.0013412701541549443,0.0008064015772738324,4.397607990062647e-06,0.02236368435081492,0.024015011215787495,93.12377225171983,True
P2_dev_run1,17,0.303,0.404,shoulder,6,37,5,9,17,-0.05193150690824952,-0.030324903567808165,0.023781086399757807,0.022791772060826755,0.0013888044960662545,0.000791188461081268,4.4331223726457265e-06,0.022433856536982728,0.024139001923601838,92.93613964647018,True
P2_dev_run1,17,0.303,0.404,shoulder,7,37,5,9,17,-0.05497400252690792,-0.032098794966867156,0.02399796942010888,0.022957085311976905,0.001482858208258244,0.0007636892370736208,4.503410836547473e-06,0.02257167028675823,0.024383384445327554,92.56988232034995,True
P2_dev_run1,17,0.303,0.404,shoulder,8,37,5,9,17,-0.05885006005880776,-0.03435797884690324,0.024275898340784315,0.023168440646360602,0.0016041971218692386,0.0007325779195931081,4.5941295268321476e-06,0.02274750147948358,0.024696837507661336,92.10694070618135,True
P2_dev_run1,17,0.303,0.404,shoulder,9,37,5,9,17,-0.06249938078078479,-0.036484292402806456,0.02453923699055976,0.023368200672648567,0.0017199963964766377,0.0007066852674964069,4.680752930162557e-06,0.02291332063118285,0.02499411703202548,91.6748553342514,True
P2_dev_run1,17,0.303,0.404,shoulder,10,37,5,9,17,-0.06262505752683857,-0.03655750696376417,0.02454833479468252,0.023375093354941416,0.0017240113168628945,0.0007058457580316253,4.683757151875262e-06,0.022919035972927555,0.02500439217669638,91.66004040797147,True
P2_dev_run1,17,0.303,0.404,shoulder,11,37,5,9,17,-0.06152485276767517,-0.035916541275610545,0.024468755619182717,0.02331478312529031,0.001688924745052306,0.0007133083175239316,4.657505106603884e-06,0.022869013376029427,0.024914525368443605,91.78988175706934,True
P2_dev_run1,17,0.303,0.404,shoulder,12,37,5,9,17,-0.05954748732168297,-0.034764395264496935,0.02432610028755904,0.023206559510745264,0.0016262107263135192,0.0007273924587220281,4.610593106004596e-06,0.022779170732993282,0.024753489065311024,92.0240806170452,True
P2_dev_run1,17,0.303,0.404,shoulder,13,37,5,9,17,-0.05676801382680289,-0.033144543305677676,0.024126380627768132,0.023054805400162064,0.0015388076419584201,0.0007487852180850486,4.545235439461443e-06,0.022653016026810358,0.02452817000111984,92.35510038366552,True
