method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged,poly_n,s_cap,norm_true,s_app_deficit,at_s_cap
qp,,P3_dev_run0,summer,6,9.7693395373067e-06,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,1.1325379255762443e-05,5.719007306895663e-16,-1.1325379255190542e-05,1.4952239956573837e-05,3.626860701956066e-06,1.089409615873234e-07,1.0880582105868207e-07,128,1.0446852655375334,1.4956744641434651e-05,4.50468486081435e-09,False
qp,,P3_dev_run0,summer,7,1.0782657621514979e-05,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,1.1325379253959555e-05,4.793789179350157e-16,-1.1325379253480177e-05,1.5632742795930394e-05,4.3073635430440915e-06,1.2936219732673898e-07,1.2922090629132287e-07,128,1.0446852655375334,1.5637452497704806e-05,4.709701774411381e-09,False
qp,,P3_dev_run0,summer,8,1.3129261960392383e-05,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,1.1325379252905586e-05,3.5039916299728967e-16,-1.1325379252555187e-05,1.733380128285116e-05,6.008422030918003e-06,1.8040932647628573e-07,1.8025266092754026e-07,128,1.0446852655375334,1.7339023468431372e-05,5.222185580210662e-09,False
qp,,P3_dev_run0,summer,9,3.862801052613219e-12,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,2.0051137037885303e-12,2.032755048646434e-14,-1.984786153302066e-12,4.345735899293063e-12,2.3138764481725276e-12,7.074282007068276e-14,6.94162934451759e-14,128,1.0446852655375334,4.342880155658156e-12,-2.855743634907205e-15,False
qp,,P3_dev_run0,summer,10,1.8877995210953773e-12,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,1.3443903775155436e-14,0.0,-1.3443903775155436e-14,1.9044091236626285e-12,1.8923683114094926e-12,5.623210460634579e-14,5.677104934228483e-14,128,1.0446852655375334,1.887847390653347e-12,-1.6561733009281565e-14,False
qp,,P3_dev_run0,summer,11,2.0830779807963955e-12,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,0.0,1.7199639425466882e-14,1.7199639425466882e-14,2.0975651722146506e-12,2.088681205223362e-12,6.197848042461521e-14,6.266043615670091e-14,128,1.0446852655375334,2.083148986912639e-12,-1.441618530201155e-14,False
qp,,P3_dev_run0,summer,12,1.9842975480187317e-12,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,0.0,1.471930348691173e-14,1.471930348691173e-14,1.9995764214706108e-12,1.9900254439813797e-12,5.908898510632104e-14,5.970076331944144e-14,128,1.0446852655375334,1.984352140364278e-12,-1.5224281106332962e-14,False
qp,,P3_dev_run0,summer,13,1.6929179741105323e-12,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,2.0007159932197508e-14,0.0,-2.0007159932197508e-14,1.7118090780915244e-12,1.6947503669332594e-12,5.01908710160188e-14,5.084251100799783e-14,128,1.0446852655375334,1.6930361937994893e-12,-1.8772884292035035e-14,False
qp,,P3_dev_run0,summer,14,2.233955591493017e-12,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,0.0,4.825717269446823e-14,4.825717269446823e-14,2.2481572409373676e-12,2.221229847205017e-12,6.558658727344267e-14,6.663689541615057e-14,128,1.0446852655375334,2.2344767484758888e-12,-1.3680492461478869e-14,False
qp,,P3_dev_run0,summer,15,0.1322625505683507,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,3.7061801457277306e-16,0.1032187075485436,0.10321870754854323,0.16772158904661533,0.06450288149807243,0.001936602339706988,0.0019350864449421746,128,1.0446852655375334,0.16777211887210944,5.0529825494111114e-05,False
qp,,P3_dev_run0,summer,16,0.19112140903872116,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,3.740399799199325e-16,0.16486246121803189,0.16486246121803153,0.25232648525575796,0.08746402403772674,0.002626201288590331,0.0026239207211318045,128,1.0446852655375334,0.2524025041710425,7.601891528452587e-05,False
qp,,P3_dev_run0,summer,17,1.413191718887304e-11,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,7.284842930940003e-16,4.409850042909742e-12,4.409121558616648e-12,1.480036125252229e-11,1.0390780125357965e-11,3.118392811288131e-13,3.1172340376073925e-13,128,1.0446852655375334,1.480376426291041e-11,3.4030103881185218e-15,False
qp,,P3_dev_run0,summer,18,3.927948736929367e-12,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,0.0,2.048584178574483e-14,2.048584178574483e-14,3.9347865697539205e-12,3.924452439086505e-12,1.172254894727033e-13,1.1773357317259524e-13,128,1.0446852655375334,3.928002157542518e-12,-6.784412211402642e-15,False
qp,,P3_dev_run0,summer,19,3.613321833590125e-12,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,0.0,1.0287074236688816e-14,1.0287074236688816e-14,3.6207249535490168e-12,3.61715546787285e-12,1.0809148208695392e-13,1.085146640361856e-13,128,1.0446852655375334,3.6133364771351495e-12,-7.388476413867307e-15,False
qp,,P3_dev_run0,summer,20,3.264132020413684e-12,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,0.0,9.146249213126208e-15,9.146249213126208e-15,3.2726098713788695e-12,3.2691357050717e-12,9.764995755847557e-14,9.807407115215108e-14,128,1.0446852655375334,3.2641448344956427e-12,-8.465036883226818e-15,False
qp,,P3_dev_run0,summer,21,2.4186899074946833e-12,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,1.6446985502768856e-14,0.0,-1.6446985502768856e-14,2.4314853342896825e-12,2.4234971679119514e-12,7.206896522208814e-14,7.270491503735861e-14,128,1.0446852655375334,2.418745826239038e-12,-1.2739508050644281e-14,False
