bus,scenario,t,P_assumed,S_assumed,lhs_0,a_slope,q_star,gain_won
19,summer,0,0.3,1.0,0.001414529875417556,0.025,0.011322683691745019,1.0457251247334836
19,summer,0,0.3,2.4,0.001414529875417556,0.025,0.011322683691545479,1.0457251247333592
19,summer,0,0.5,1.0,0.001414529875417556,0.025,0.01664803658930429,1.5376939898676063
19,summer,0,0.5,2.4,0.001414529875417556,0.025,0.016648036589289834,1.5376939898678965
19,summer,0,1.0,1.0,0.001414529875417556,0.025,0.0,0.0
19,summer,0,1.0,2.4,0.001414529875417556,0.025,0.025723364777430754,2.376185902358464
20,summer,0,0.0,0.3,0.0015234318022047297,0.025,0.0,0.0
20,summer,0,0.0,1.0,0.0015234318022047297,0.025,0.0,0.0
20,summer,0,0.0,2.4,0.0015234318022047297,0.025,0.0,0.0
20,summer,0,0.1,0.3,0.0015234318022047297,0.025,0.0046922427523180795,0.4666193226305394
20,summer,0,0.1,1.0,0.0015234318022047297,0.025,0.004692242752645229,0.46661932263053496
20,summer,0,0.1,2.4,0.0015234318022047297,0.025,0.004692242752645251,0.4666193226305389
20,summer,0,0.3,0.3,0.0015234318022047297,0.025,0.0,0.0
20,summer,0,0.3,1.0,0.0015234318022047297,0.025,0.012195505959959116,1.212995257629628
20,summer,0,0.3,2.4,0.0015234318022047297,0.025,0.012195505959570759,1.212995257629592
20,summer,0,0.5,1.0,0.0015234318022047297,0.025,0.017930858139666307,1.7836321112740727
20,summer,0,0.5,2.4,0.0015234318022047297,0.025,0.01793085813963815,1.7836321112740336
20,summer,0,1.0,1.0,0.0015234318022047297,0.025,0.0,0.0
20,summer,0,1.0,2.4,0.0015234318022047297,0.025,0.027704556091650727,2.7561856335503214
21,summer,0,0.0,0.3,0.001617691386207007,0.025,0.0,0.0
21,summer,0,0.0,1.0,0.001617691386207007,0.025,0.0,0.0
21,summer,0,0.0,2.4,0.001617691386207007,0.025,0.0,0.0
21,summer,0,0.1,0.3,0.001617691386207007,0.025,0.004983212658657917,0.5261822140598326
21,summer,0,0.1,1.0,0.001617691386207007,0.025,0.004983212658219084,0.5261822140598433
21,summer,0,0.1,2.4,0.001617691386207007,0.025,0.004983212658219136,0.5261822140598538
21,summer,0,0.3,0.3,0.001617691386207007,0.025,0.0,0.0
21,summer,0,0.3,1.0,0.001617691386207007,0.025,0.012951172447596688,1.3678003633982494
21,summer,0,0.3,2.4,0.001617691386207007,0.025,0.012951172447931062,1.3678003633982052
21,summer,0,0.5,1.0,0.001617691386207007,0.025,0.019041399507733814,2.0112365859582173
21,summer,0,0.5,2.4,0.001617691386207007,0.025,0.01904139950768552,2.0112365859584105
21,summer,0,1.0,1.0,0.001617691386207007,0.025,0.0,0.0
21,summer,0,1.0,2.4,0.001617691386207007,0.025,0.02941951055646471,3.107846584163721
